video,frame_idx,alert_confirmed,single_frame_suspicious,attack_state_active,p_adv,p_adv_display,p_media,a3b_observed_score,a3b_confirmed_score,a3b_display_score,a3b_triggered,a3b_source,a3b_reason,overexposure_ratio,is_glare,temporal_change,temporal_local_max,motion_score,flow_local_ratio,blur_score,track_score,confidence_drop_score,timing_ms,reason_codes
固定镜头室外视频.mp4,14,False,False,False,0.2406313270330429,0.24322224759292602,0.0,0.0,0.0,0.0,False,none,none,0.0002197265566792339,False,0.05670126527547836,0.4916311800479889,1.0,0.5300000309944153,0.02410931057400164,0.0,0.0,16.75260000047274,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,15,False,False,False,0.2400045096874237,0.24285946085380553,0.0,0.0,0.0,0.0,False,none,none,0.0002197265566792339,False,0.05550649017095566,0.5011865496635437,1.0,0.5268750190734863,0.041288031472100056,0.0,0.0,17.394800001056865,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;paired_temporal_flow_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,16,False,False,False,0.24272537231445312,0.24272537231445312,0.0,0.0,0.0,0.0,False,none,none,0.00021728515275754035,False,0.06616088002920151,0.5200933814048767,1.0,0.4931250214576721,0.02711643113030318,0.0,0.0,15.809199991053902,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;paired_temporal_flow_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,17,False,False,False,0.24306848645210266,0.24272537231445312,0.0,0.0,0.0,0.0,False,none,none,0.0002197265566792339,False,0.06443890184164047,0.5237541198730469,1.0,0.4468750059604645,0.08626781569586851,0.0,0.0,15.393500012578443,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,18,False,False,False,0.23890765011310577,0.24223558338399198,0.0,0.0,0.0,0.0,False,none,none,0.00022216796060092747,False,0.05089503899216652,0.514531135559082,1.0,0.4268750250339508,0.13866665628221292,0.0,0.0,104.13939999125432,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,19,False,False,False,0.23885391652584076,0.24190345227718354,0.0,0.0,0.0,0.0,False,none,none,0.00022216796060092747,False,0.05152900889515877,0.513440728187561,1.0,0.4306250214576721,0.18860395749409986,0.0,0.0,24.679499998455867,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,20,False,False,False,0.2403295934200287,0.24190345227718354,0.0,0.0,0.0,0.0,False,none,none,0.00021240234491415322,False,0.058057378977537155,0.503442108631134,1.0,0.43937501311302185,0.16571325725979266,0.0,0.0,16.994199992041104,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,21,False,False,False,0.24073386192321777,0.24104958226680756,0.0,0.0,0.0,0.0,False,none,none,0.00021728515275754035,False,0.05694643035531044,0.49256637692451477,1.0,0.40625,0.11615649859110505,0.0,0.0,14.081000001169741,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,22,False,False,False,0.24009349942207336,0.24084798538970947,0.0,0.0,0.0,0.0,False,none,none,0.00022460936452262104,False,0.05529605969786644,0.48177745938301086,1.0,0.37312501668930054,0.16193736924065474,0.0,0.0,17.465600001742132,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,23,False,False,False,0.23979979753494263,0.2408160308190918,0.0,0.0,0.0,0.0,False,none,none,0.0002294921869179234,False,0.05464428290724754,0.4823138415813446,1.0,0.41187500953674316,0.2402338981628417,0.0,0.0,21.956099997623824,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,24,False,False,False,0.24202290177345276,0.2408160308190918,0.0,0.0,0.0,0.0,False,none,none,0.00021484374883584678,False,0.06606730073690414,0.47507989406585693,1.0,0.4412499964237213,0.25567242834303106,0.0,0.0,16.28359999449458,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,25,False,False,False,0.2440565675497055,0.2408160308190918,0.0,0.0,0.0,0.0,False,none,none,0.00020996092644054443,False,0.07179135829210281,0.501117467880249,1.0,0.4724999964237213,0.3466089831458197,0.0,0.0,17.671399997198023,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;paired_temporal_flow_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,26,False,False,False,0.24033117294311523,0.24202290177345276,0.0,0.0,0.0,0.0,False,none,none,0.00020019531075377017,False,0.060222379863262177,0.5173163414001465,1.0,0.47874999046325684,0.3736219406127929,0.0,0.0,14.729799993801862,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;paired_temporal_flow_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,27,False,True,True,0.2404448688030243,0.24229425234794616,0.0,0.0,0.0,0.0,False,none,none,0.00019287108443677425,False,0.06082107126712799,0.5307599902153015,1.0,0.47874999046325684,0.40388189421759707,0.0,0.0,18.316199988476,target_motion_temporal_anomaly;temporal_texture_change;local_temporal_texture_change;motion_artifact;paired_temporal_flow_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,28,False,False,True,0.24136927723884583,0.24229425234794616,0.0,0.0,0.0,0.0,False,none,none,0.00020019531075377017,False,0.06505049020051956,0.5286116003990173,1.0,0.4312500059604645,0.3816524081759982,0.0,0.0,22.29100000113249,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,29,False,False,True,0.24112656712532043,0.24229425234794616,0.0,0.0,0.0,0.0,False,none,none,0.0001977539068320766,False,0.0640188530087471,0.5258934497833252,1.0,0.4756249785423279,0.3826769457923041,0.0,0.0,20.202800005790778,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;paired_temporal_flow_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,30,False,False,True,0.2402368187904358,0.24203525931739805,0.0,0.0,0.0,0.0,False,none,none,0.0001977539068320766,False,0.06117171049118042,0.500180184841156,1.0,0.48000001907348633,0.3738578425513373,0.0,0.0,17.446199999540113,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;paired_temporal_flow_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,31,False,False,True,0.24044449627399445,0.24178082550361632,0.0,0.0,0.0,0.0,False,none,none,0.00021484374883584678,False,0.06167877838015556,0.5214811563491821,1.0,0.4399999976158142,0.32112918959723574,0.0,0.0,15.596500001265667,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,32,False,False,False,0.2426171898841858,0.24178082550361632,0.0,0.0,0.0,0.0,False,none,none,0.00020019531075377017,False,0.06966908276081085,0.49118947982788086,1.0,0.40687498450279236,0.28641253047519255,0.0,0.0,18.514499999582767,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,33,False,False,False,0.24351949989795685,0.24178082550361632,0.0,0.0,0.0,0.0,False,none,none,0.0001977539068320766,False,0.07092861831188202,0.4729343354701996,1.0,0.4087499976158142,0.23321631219651956,0.0,0.0,26.547200002823956,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,34,False,False,False,0.23957835137844086,0.24241597831249237,0.0,0.0,0.0,0.0,False,none,none,0.00020019531075377017,False,0.056990787386894226,0.47857582569122314,1.0,0.43687501549720764,0.20070250829060865,0.0,0.0,15.536699997028336,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,35,False,False,False,0.23984727263450623,0.24241597831249237,0.0,0.0,0.0,0.0,False,none,none,0.00020019531075377017,False,0.058068908751010895,0.4903440773487091,1.0,0.43312501907348633,0.1831489404042561,0.0,0.0,15.300200000638142,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact
固定镜头室外视频.mp4,36,False,False,False,0.23980949819087982,0.24241597831249237,0.0,0.0,0.0,0.0,False,none,none,0.00020019531075377017,False,0.05983405187726021,0.48732635378837585,1.0,0.46562498807907104,0.18961445490519196,0.0,0.0,17.00209999398794,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,37,False,False,False,0.24061420559883118,0.24169674072265626,0.0,0.0,0.0,0.0,False,none,none,0.00020019531075377017,False,0.0616362988948822,0.49199917912483215,1.0,0.5256249904632568,0.2167611916859944,0.0,0.0,15.629200002877042,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,38,False,False,False,0.23936836421489716,0.24116831281375886,0.0,0.0,0.0,0.0,False,none,none,0.00019531248835846782,False,0.05731232836842537,0.4778447449207306,1.0,0.484375,0.26145407888624395,0.0,0.0,24.933200009400025,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,39,False,False,False,0.23904059827327728,0.24101316279357912,0.0,0.0,0.0,0.0,False,none,none,0.00019287108443677425,False,0.05666620284318924,0.47057515382766724,1.0,0.4581250250339508,0.2799700631035698,0.0,0.0,16.676500003086403,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;motion_artifact;light_optical_flow_artifact;paired_temporal_light_flow_change
固定镜头室外视频.mp4,40,False,False,False,0.24228113889694214,0.24101316279357912,0.0,0.0,0.0,0.0,False,none,none,0.0001904296805150807,False,0.06822722405195236,0.4645710587501526,1.0,0.4150000214576721,0.3060035175747341,0.0,0.0,16.446000008727424,extreme_motion_temporal_override;temporal_texture_change;local_temporal_texture_change;light_optical_flow_artifact;paired_temporal_light_flow_change
